Zelle Nr.;D mes;S mes;A mes;D bg;S bg;A gb;D;S;A;alpha;gamma;delta
1;5,481;100,07;181,507;3,796;2,164;2,231;1,685;97,906;179,276;0,009398916;0,546118834;0,017210385
2;4,288;19,275;42,668;3,917;2,199;2,338;0,371;17,076;40,33;0,009199107;0,423406893;0,0217264
3;4,277;40,432;96,637;3,748;1,981;1,658;0,529;38,451;94,979;0,005569652;0,404836859;0,01375777
4;4,138;27,594;62,912;3,6;2,185;2,209;0,538;25,409;60,703;0,008862824;0,418578983;0,0211736
5;4,19;34,719;78,166;3,761;2,284;2,439;0,429;32,435;75,727;0,005665086;0,428314868;0,013226453
6;4,181;29,507;66,043;3,648;2,182;2,123;0,533;27,325;63,92;0,008338548;0,427487484;0,019505947
7;4,265;50,273;116,335;3,614;2,189;2,136;0,651;48,084;114,199;0,005700575;0,421054475;0,013538807
8;4,074;15,265;33,728;3,584;2,033;1,894;0,49;13,232;31,834;0,015392348;0,415656217;0,037031439
9;4,475;36,802;82,418;3,877;2,113;2,118;0,598;34,689;80,3;0,007447073;0,431992528;0,017238894
10;4,33;32,137;74,972;3,723;2,101;2,048;0,607;30,036;72,924;0,008323734;0,411880862;0,020209082
